альфа-линолевая кислота;валин;витамин a;витамин b1;витамин b2;витамин b3;витамин b4;витамин b5;витамин b6;витамин b9;витамин c;витамин d3;витамин e;витамин k;гистидин;железо;изолейцин;йод;калий;кальций;лейцин;лизин;линолевая кислота;магний;марганец;медь;метионин;молибден;натрий;селен;треонин;триптофан;фенилаланин;фосфор;хром;цинк
;;;спаржа - 16.67%;;;кунжут - 5.00%;молоко - 6.00%;чернослив - 15.38%;семена чиа - 12.25%;;;петрушка - 5.48%;фасоль - 7.00%;;спаржа - 21.00%;;;овес - 9.13%;;;;;чечевица - 11.75%;кукуруза - 21.74%;кускус - 22.22%;;;;;;;;йогурт - 15.57%;;
;;;тыква - 8.33%;;;чеснок - 4.64%;баклажан - 6.00%;капуста красная - 15.38%;капуста белокочанная - 10.75%;;;батат - 4.79%;помидор - 6.58%;;кинза - 18.00%;;;булгур - 8.72%;;;;;кускус - 11.00%;кинза - 17.39%;оливки - 22.22%;;;;;;;;кефир - 15.00%;;
;;;гранат - 8.33%;;;шпинат - 4.40%;;кинза - 7.69%;киноа - 10.50%;;;грецкий орех - 4.79%;болгарский перец - 6.17%;;;;;семена чиа - 8.66%;;;;;сыр - 11.00%;капуста брюссельская - 13.04%;картофель - 22.22%;;;;;;;;;;
;;;капуста брюссельская - 8.33%;;;;;баклажан - 7.69%;кукуруза - 10.50%;;;помидор - 4.11%;семена тыквы - 6.08%;;;;;кунжут - 8.64%;;;;;;капуста красная - 8.70%;рис - 22.22%;;;;;;;;;;
;;;апельсин - 8.33%;;;;;;гречка - 10.50%;;;макадамия - 4.11%;яйца - 4.67%;;;;;чеснок - 8.53%;;;;;;курага - 8.70%;гранат - 22.22%;;;;;;;;;;
;;;семена подсолнуха - 8.33%;;;;;;гранат - 9.50%;;;фенхель - 4.11%;подсолнечное масло - 4.50%;;;;;чечевица - 7.85%;;;;;;;;;;;;;;;;;
;;;;;;;;;стебель сельдерея - 9.00%;;;гранат - 4.11%;чечевица - 4.17%;;;;;руккола - 7.85%;;;;;;;;;;;;;;;;;
;;;;;;;;;кедровый орех - 8.50%;;;семена чиа - 3.42%;груша - 3.67%;;;;;макадамия - 7.83%;;;;;;;;;;;;;;;;;
;;;;;;;;;сывороточный протеин - 8.25%;;;кукуруза - 3.42%;кабачок - 3.58%;;;;;банан - 7.62%;;;;;;;;;;;;;;;;;
;;;;;;;;;фасоль стручковая - 8.25%;;;чечевица - 3.42%;картофель - 3.08%;;;;;капуста брюссельская - 5.83%;;;;;;;;;;;;;;;;;
;;;;;;;;;какао - 8.00%;;;льняное масло - 3.42%;баклажан - 2.92%;;;;;апельсин - 3.85%;;;;;;;;;;;;;;;;;
;;;;;;;;;апельсин - 7.50%;;;руккола - 2.74%;курага - 2.58%;;;;;молоко - 3.21%;;;;;;;;;;;;;;;;;
;;;;;;;;;лук зеленый - 7.50%;;;баклажан - 2.05%;грецкий орех - 2.25%;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;салат айсберг - 7.25%;;;апельсин - 1.37%;сыр - 2.17%;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;кабачок - 7.00%;;;;какао - 2.08%;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;киви - 6.25%;;;;батат - 1.92%;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;баклажан - 5.50%;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;банан - 5.00%;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;кольраби - 4.00%;;;;;;;;;;;;;;;;;;;;;;;;;;
